participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,888.700,382.000,3.41812133789063,3.32670593261719,1,1,1619038470157982,132635117854229406,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,149,61
5,Peyton,978.091,370.636,3.37046813964844,3.301513671875,1,1,1619038470341294,132635117856062679,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,166,62
5,Peyton,1119.341,377.098,3.29541015625,3.19734191894531,1,1,1619038470541263,132635117858060266,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,666,63
5,Peyton,1230.077,380.615,3.2962646484375,3.16606140136719,1,1,1619038471241170,132635117865060597,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,199,64
5,Peyton,571.000,407.111,3.34017944335938,3.21429443359375,1,1,1619038471524474,132635117867894612,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,133,65
5,Peyton,519.975,450.050,3.32687377929688,3.16534423828125,1,1,1619038471691114,132635117869560677,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,649,66
5,Peyton,633.500,472.500,3.34426879882813,3.22779846191406,1,1,1619038472374361,132635117876393702,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,149,67
5,Peyton,746.208,464.417,3.31254577636719,3.21702575683594,1,1,1619038472557666,132635117878226200,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,68
5,Peyton,880.143,451.143,3.14414978027344,3.08219909667969,1,1,1619038472974277,132635117882392147,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,216,69
5,Peyton,962.000,442.692,3.14688110351563,3.00982666015625,1,1,1619038473224249,132635117884891594,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,199,70
5,Peyton,1037.429,393.905,3.09048461914063,3.01243591308594,1,1,1619038473457553,132635117887223175,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,333,71
5,Peyton,1116.500,369.143,3.17378234863281,3.04719543457031,1,1,1619038473824157,132635117890890363,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,216,72
